id,vehicle,step,position_x,position_y,velocity_x,velocity_y,acceleration_x,acceleration_y,rolling_velocity_x,rolling_acceleration_x,max_interaction_force,max_interaction_id,border_force,nudge_force,driving_force_x,driving_force_y
0,ebike,323,4.3151035,-1.1243675,5.6338406,-0.17002273,1.7867904,-0.52272105,0.09262654,1.8124452,0.0,,-0.6228019,0.0,1.7867904,0.10008086
0,ebike,324,4.409989,-1.1273419,5.663624,-0.16979848,1.7700856,-0.51980126,0.093134865,1.7955014,0.0,,-0.6197916,0.0,1.7700856,0.099990346
0,ebike,325,4.5053616,-1.1303111,5.693121,-0.16954029,1.7535388,-0.5169053,0.09363841,1.7787163,0.0,,-0.61678624,0.0,1.7535388,0.099880934
0,ebike,326,4.601217,-1.1332747,5.7223606,-0.1692481,1.7371516,-0.5140337,0.09413719,1.7620904,0.0,,-0.6137863,0.0,1.7371516,0.099752635
0,ebike,327,4.69755,-1.136232,5.751314,-0.16892195,1.7209069,-0.51118696,0.09463139,1.745617,0.0,,-0.6107924,0.0,1.7209069,0.09960543
0,ebike,328,4.7943563,-1.1391827,5.7799816,-0.16856861,1.7048221,-0.50836575,0.09512093,1.7292991,0.0,,-0.6078051,0.0,1.7048221,0.09943934
0,ebike,329,4.891632,-1.1421262,5.8083916,-0.1681881,1.6888957,-0.50556666,0.09560577,1.7131379,0.0,,-0.6048248,0.0,1.6888957,0.09925811
0,ebike,330,4.9893727,-1.1450622,5.836544,-0.1677804,1.6731124,-0.5027902,0.09608607,1.6971278,0.0,,-0.601852,0.0,1.6731124,0.09906176
0,ebike,331,5.087574,-1.1479903,5.864439,-0.1673523,1.6574715,-0.50003684,0.09656194,1.6812654,0.0,,-0.5988871,0.0,1.6574715,0.09885027
0,ebike,332,5.1862316,-1.1509103,5.8920765,-0.16690385,1.6419743,-0.49730298,0.097033426,1.665549,0.0,,-0.5959304,0.0,1.6419743,0.09862742
0,ebike,333,5.2853413,-1.1538216,5.9194565,-0.16643499,1.6266202,-0.49458906,0.09750056,1.6499774,0.0,,-0.5929823,0.0,1.6266202,0.098393224
0,ebike,334,5.3848987,-1.156724,5.946579,-0.16594577,1.6114097,-0.4918955,0.09796338,1.6345503,0.0,,-0.5900431,0.0,1.6114097,0.098147646
0,ebike,335,5.4848995,-1.1596172,5.973444,-0.16543615,1.5963416,-0.4892226,0.09842189,1.6192669,0.0,,-0.5871133,0.0,1.5963416,0.09789073
0,ebike,336,5.5853395,-1.1625009,6.0000515,-0.16491294,1.5814166,-0.48657063,0.09887609,1.6041268,0.0,,-0.58419305,0.0,1.5814166,0.09762243
0,ebike,337,5.686215,-1.1653748,6.0264015,-0.16436934,1.5666347,-0.48393613,0.099326,1.5891299,0.0,,-0.5812827,0.0,1.5666347,0.09734655
